lambda,dlambda,pe,espring
0.000000e+00,0.000000e+00,-3.186883e+01,4.787832e-02
1.259958e-23,6.299748e-23,-3.186885e+01,4.787151e-02
4.031731e-22,1.007919e-21,-3.186888e+01,4.786613e-02
3.061494e-21,5.102388e-21,-3.186891e+01,4.785875e-02
1.290068e-20,1.612542e-20,-3.186894e+01,4.785066e-02
3.936844e-20,3.936713e-20,-3.186898e+01,4.784086e-02
9.795801e-20,8.162841e-20,-3.186902e+01,4.782990e-02
2.117188e-19,1.512207e-19,-3.186906e+01,4.781929e-02
4.127667e-19,2.579654e-19,-3.186909e+01,4.780685e-02
7.437942e-19,4.131942e-19,-3.186913e+01,4.779472e-02
1.259580e-18,6.297480e-19,-3.186917e+01,4.778251e-02
2.028499e-18,9.219772e-19,-3.186920e+01,4.777062e-02
3.134029e-18,1.305741e-18,-3.186924e+01,4.775763e-02
4.676265e-18,1.798408e-18,-3.186927e+01,4.774353e-02
6.773421e-18,2.418853e-18,-3.186930e+01,4.772728e-02
9.563342e-18,3.187462e-18,-3.186932e+01,4.771151e-02
1.320501e-17,4.126126e-18,-3.186935e+01,4.769392e-02
1.788006e-17,5.258246e-18,-3.186938e+01,4.767519e-02
2.379427e-17,6.608728e-18,-3.186940e+01,4.765667e-02
3.117909e-17,8.203985e-18,-3.186943e+01,4.763756e-02
4.029313e-17,1.007194e-17,-3.186946e+01,4.761909e-02
5.142366e-17,1.224201e-17,-3.186949e+01,4.760140e-02
6.488816e-17,1.474515e-17,-3.186952e+01,4.758274e-02
8.103577e-17,1.761377e-17,-3.186954e+01,4.756664e-02
1.002488e-16,2.088183e-17,-3.186956e+01,4.755170e-02
1.229444e-16,2.458477e-17,-3.186958e+01,4.753819e-02
1.495756e-16,2.875956e-17,-3.186960e+01,4.752290e-02
1.806336e-16,3.344464e-17,-3.186962e+01,4.750736e-02
2.166483e-16,3.867998e-17,-3.186964e+01,4.749011e-02
2.581907e-16,4.450704e-17,-3.186967e+01,4.747327e-02
3.058739e-16,5.096879e-17,-3.186969e+01,4.745717e-02
3.603547e-16,5.810971e-17,-3.186970e+01,4.744189e-02
4.223351e-16,6.597577e-17,-3.186972e+01,4.742504e-02
4.925638e-16,7.461445e-17,-3.186974e+01,4.740652e-02
5.718378e-16,8.407473e-17,-3.186975e+01,4.738913e-02
6.610039e-16,9.440709e-17,-3.186976e+01,4.737297e-02
7.609600e-16,1.056635e-16,-3.186976e+01,4.735880e-02
8.726568e-16,1.178975e-16,-3.186976e+01,4.734424e-02
9.970991e-16,1.311640e-16,-3.186976e+01,4.732931e-02
1.135348e-15,1.455196e-16,-3.186976e+01,4.731549e-02
1.288521e-15,1.610221e-16,-3.186975e+01,4.730108e-02
1.457794e-15,1.777312e-16,-3.186975e+01,4.728698e-02
1.644405e-15,1.957077e-16,-3.186975e+01,4.727155e-02
1.849653e-15,2.150142e-16,-3.186975e+01,4.725518e-02
2.074898e-15,2.357147e-16,-3.186975e+01,4.723862e-02
2.321569e-15,2.578747e-16,-3.186975e+01,4.722068e-02
2.591157e-15,2.815611e-16,-3.186975e+01,4.720412e-02
2.885223e-15,3.068424e-16,-3.186975e+01,4.718992e-02
3.205396e-15,3.337886e-16,-3.186975e+01,4.717329e-02
3.553378e-15,3.624711e-16,-3.186974e+01,4.715874e-02
3.930942e-15,3.929631e-16,-3.186973e+01,4.714717e-02
4.339933e-15,4.253389e-16,-3.186972e+01,4.713587e-02
4.782273e-15,4.596744e-16,-3.186971e+01,4.712685e-02
5.259961e-15,4.960473e-16,-3.186969e+01,4.711753e-02
5.775073e-15,5.345364e-16,-3.186968e+01,4.710940e-02
