Temperature_K,Free_Energy_eV_atom,Lambda,Work_w
300.0,-32.040036,1.0,0.0
300.0039900530677,-32.040038441270674,0.9999867,0.00042420699124980457
300.00801021387275,-32.04004090076836,0.9999733,0.0008516037097514714
300.0120004800192,-32.040043341784155,0.99996,0.0012758111000012759
300.0159908523124,-32.040045782638984,0.9999467,0.0017000187230010806
300.020011334756,-32.04004824168418,0.9999333,0.002127416111499206
300.0240019201536,-32.04005068221759,0.99992,0.0025516241999990106
300.02799261171066,-32.04005312262328,0.9999067,0.0029758324879988153
300.0320134158315,-32.04005558124943,0.9998933,0.0034032305130004816
300.0360043205185,-32.040058021333664,0.99988,0.0038274392665002864
300.03999533137767,-32.04006046125689,0.9998667,0.004251648252750091
300.04398644841336,-32.04006290105236,0.9998534,0.004675857438499896
300.048007681229,-32.040065359030194,0.99984,0.0051032564015015625
300.0519990114287,-32.040067798470915,0.9998267,0.0055274660860013675
300.0559904478176,-32.0400702377506,0.9998134,0.005951676003251171
300.06001200240047,-32.040072695242266,0.9998,0.006379075669749297
300.06400365197896,-32.04007513423367,0.9997867,0.006803286019249101
300.0679954077594,-32.040077573064025,0.9997734,0.007227496601498906
300.071987269746,-32.04008001173333,0.9997601,0.007651707416498711
300.0760092531438,-32.0400824685765,0.9997467,0.008079108021000377
300.0800013283541,-32.04008490695748,0.9997334,0.008503319268250181
300.0839935097834,-32.040087345210644,0.9997201,0.008927530714999986
300.08801581503855,-32.04008980166804,0.9997067,0.009354931922501654
300.0920082097171,-32.04009223966611,0.9996934,0.00977914376825146
300.0960007106273,-32.040094677503085,0.9996801,0.010203355846751264
300.0999933177735,-32.04009711521223,0.9996668,0.010627568124751068
300.1039860311598,-32.04009955282681,0.9996535,0.011051780569000873
300.10800887239316,-32.04010200867429,0.9996401,0.011479182747998999
300.1120017990714,-32.04010444606698,0.9996268,0.011903395557998804
300.11599483200257,-32.040106883298556,0.9996135,0.012327608600748607
300.1199879711909,-32.04010932043553,0.9996002,0.012751821809748414
300.124011241445,-32.04011177583533,0.9995868,0.013179224725750081
300.1280045939593,-32.040114212816924,0.9995735,0.013603438233999884
300.1319980527436,-32.040116649703904,0.9995602,0.01402765190849969
300.135991617802,-32.04011908652956,0.9995469,0.014451865715999494
300.14001531714547,-32.04012154161566,0.9995335,0.014879269235001161
300.14400909556406,-32.04012397835242,0.9995202,0.015303483275250966
300.14800298026955,-32.04012641506111,0.9995069,0.01572769741525077
300.15199697126627,-32.040128851741706,0.9994936,0.016151911655000573
300.1559910685583,-32.04013128839423,0.9994803,0.01657612599450038
300.1600153041586,-32.040133743372934,0.9994669,0.017003529982498503
300.1640096148535,-32.04013618006963,0.9994536,0.01742774442174831
300.16800403185664,-32.04013861677151,0.9994403,0.017851958927501653
300.17199855517214,-32.04014105347857,0.999427,0.01827617349975146
300.17599318480427,-32.0401434902241,0.9994137,0.018700388105251264
300.1799879207573,-32.04014592704134,0.9994004,0.01912460271075107
300.1840127998463,-32.040148382253065,0.999387,0.019552006899749196
300.18800774925336,-32.040150819214325,0.9993737,0.019976221505248998
300.19200280499405,-32.040153256247315,0.9993604,0.020400436110748803
300.1959979670727,-32.04015569335205,0.9993471,0.02082465071624861
300.1999932354935,-32.040158130528525,0.9993338,0.02124886532174841
300.2039886102607,-32.04016056777674,0.9993205,0.02167307992725176
300.20801413299273,-32.04016302345622,0.9993071,0.022100484082749883
300.21200972126513,-32.04016546091503,0.9992938,0.02252469862174969
300.21600541589675,-32.04016789847887,0.9992805,0.02294891312749949
300.2200012168917,-32.04017033618102,0.9992672,0.0233731275667493
300.2239971242544,-32.04017277398821,0.9992539,0.023797341972749103
300.22799313798896,-32.04017521190045,0.9992406,0.024221556345498912
300.2319892580997,-32.04017764991774,0.9992273,0.024645770684998715
300.2360155318096,-32.04018010640562,0.9992139,0.025073174539000383
300.24001186548526,-32.04018254470011,0.9992006,0.025497388745500185
300.2440083055499,-32.040184983099664,0.9991873,0.02592160291874999
300.24800485200774,-32.04018742163757,0.999174,0.026345817025499797
300.252001504863,-32.04018986031382,0.9991607,0.0267700310657496
300.25599826411997,-32.04019229909515,0.9991474,0.027194245072749403
300.25999512978285,-32.04019473798157,0.9991341,0.02761845904649921
300.26399210185593,-32.040197177006355,0.9991208,0.028042672953749015
300.2679891803434,-32.04019961613624,0.9991075,0.028466886827748818
300.27201641967457,-32.0402020737116,0.9990941,0.028894290246250485
300.2760137118039,-32.0402045130855,0.9990808,0.02931850402050029
300.2800111103604,-32.0402069525645,0.9990675,0.029742717761500094
300.2840086153484,-32.04020939218191,0.9990542,0.030166931435999897
300.2880062267721,-32.040211831937704,0.9990409,0.030591145043999703
300.2920039446358,-32.04021427179862,0.9990276,0.03101535861874951
300.29600176894365,-32.04021671179795,0.9990143,0.03143957212699931
300.2999996997,-32.0402191519357,0.999001,0.03186378556874911
300.3039977369091,-32.040221592245146,0.9989877,0.03228799891074892
300.3079958805751,-32.0402240327263,0.9989744,0.032712212152998715
300.3119941307024,-32.0402264733459,0.9989611,0.033136425328748526
300.3159924872951,-32.04022891410394,0.9989478,0.03356063843799832
300.31999095035764,-32.04023135500042,0.9989345,0.03398485148075167
300.3239895198941,-32.04023379603536,0.9989212,0.034409064457001474
300.32801826154525,-32.040236255563705,0.9989078,0.0348364669374996
300.33201704484304,-32.040238696909384,0.9988945,0.035260679747499406
300.33601593462765,-32.040241138426815,0.9988812,0.03568489245774921
300.3400149309033,-32.04024358011602,0.9988679,0.03610910506824901
300.34401403367417,-32.04024602194371,0.9988546,0.03653331761224882
300.3480132429446,-32.04024846390987,0.9988413,0.03695753008974862
300.3520125587188,-32.04025090608111,0.998828,0.037381742434248424
300.3560119810011,-32.040253348424145,0.9988147,0.03780595467899823
300.36001150979564,-32.04025579090569,0.9988014,0.03823016685725157
300.36401114510676,-32.04025823352575,0.9987881,0.03865437896900138
300.3680108869387,-32.04026067628432,0.9987748,0.03907859101425118
300.37201073529565,-32.04026311918142,0.9987615,0.03950280299300099
300.376010690182,-32.04026556225035,0.9987482,0.03992701487200079
300.38001075160184,-32.04026800549109,0.9987349,0.0403512266512506
300.38401091955956,-32.040270448870395,0.9987216,0.040775438364000396
300.38801119405935,-32.040272892388245,0.9987083,0.04119965001025021
300.3920115751055,-32.04027533601134,0.998695,0.041623861623250005
300.39601206270225,-32.040277779773014,0.9986817,0.04204807316974982
300.40001265685385,-32.04028022370654,0.9986684,0.042472284616499614
300.40401335756457,-32.04028266774535,0.9986551,0.042896496029999426
300.4080141648387,-32.04028511188944,0.9986418,0.04332070741024922
300.4120150786804,-32.04028755617212,0.9986285,0.043744918723999035
300.416016099094,-32.04029000056008,0.9986152,0.04416913000449883
300.42001722608376,-32.04029244505334,0.9986019,0.044593341251748644
300.42401845965395,-32.04029488971849,0.9985886,0.04501755239924844
300.42798971414675,-32.040297316140006,0.9985754,0.04543857392324993
300.43199116008907,-32.04029976104854,0.9985621,0.04586278497099973
300.43599271262457,-32.040302206095674,0.9985488,0.04628699595224954
300.43999437175745,-32.040304651281446,0.9985355,0.04671120686699934
300.443996137492,-32.04030709660584,0.9985222,0.04713541771524915
300.4479980098325,-32.04030954206886,0.9985089,0.04755962849699895
300.4519999887831,-32.04031198767053,0.9984956,0.04798383921224876
300.45600207434825,-32.040314433444124,0.9984823,0.04840804982774856
300.46000426653205,-32.04031687938969,0.998469,0.04883226034349837
300.4640065653389,-32.0403193255072,0.9984557,0.049256470759501715
300.46800897077287,-32.040321771796684,0.9984424,0.04968068107575152
300.4720114828384,-32.040324218291445,0.9984291,0.05010489125900132
300.47601410153965,-32.04032666499148,0.9984158,0.050529101309251125
300.48001682688096,-32.04032911189681,0.9984025,0.05095331122650093
300.4840196588665,-32.040331559040744,0.9983892,0.05137752097750073
300.4879924998197,-32.040333988021644,0.998376,0.05179854101649867
300.4919955443047,-32.040336435642274,0.9983627,0.05222275043499847
300.4959986954467,-32.04033888350154,0.9983494,0.05264695968724828
300.50000195325003,-32.04034133166605,0.9983361,0.05307116870675162
300.5040053177189,-32.04034378013583,0.9983228,0.053495377493501424
300.5080087888576,-32.04034622891088,0.9983095,0.05391958604750123
300.5120123666703,-32.04034867799123,0.9982962,0.05434379436875103
300.51601605116144,-32.04035112734357,0.9982829,0.05476800249050083
300.52001984233516,-32.04035357700123,0.9982696,0.05519221037950064
300.5239936353025,-32.04035600854317,0.9982564,0.05561322850449858
300.52799763905205,-32.04035845884426,0.9982431,0.05603743589474838
300.532001749497,-32.04036090951731,0.9982298,0.05646164298575174
300.53600596664154,-32.04036336049574,0.9982165,0.05688584984400154
300.54001029049,-32.040365811779544,0.9982032,0.057310056469501346
300.54401472104655,-32.040368263402044,0.9981899,0.057734262829001154
300.5480192583156,-32.040370715329956,0.9981766,0.058158468955750955
300.551993791798,-32.04037314912516,0.9981634,0.05857948533174889
300.5559985417023,-32.04037560173,0.9981501,0.0590036909264987
300.56000339833173,-32.04037805467359,0.9981368,0.05942789625524851
