lambda,dlambda,enthalpy
1.000000e+00,-1.333333e-05,-3.189383e+01
9.999867e-01,-1.333298e-05,-3.189383e+01
9.999733e-01,-1.333262e-05,-3.189383e+01
9.999600e-01,-1.333227e-05,-3.189383e+01
9.999467e-01,-1.333191e-05,-3.189383e+01
9.999333e-01,-1.333156e-05,-3.189383e+01
9.999200e-01,-1.333120e-05,-3.189384e+01
9.999067e-01,-1.333084e-05,-3.189384e+01
9.998933e-01,-1.333049e-05,-3.189385e+01
9.998800e-01,-1.333013e-05,-3.189386e+01
9.998667e-01,-1.332978e-05,-3.189387e+01
9.998534e-01,-1.332942e-05,-3.189388e+01
9.998400e-01,-1.332907e-05,-3.189389e+01
9.998267e-01,-1.332871e-05,-3.189391e+01
9.998134e-01,-1.332836e-05,-3.189392e+01
9.998000e-01,-1.332800e-05,-3.189394e+01
9.997867e-01,-1.332765e-05,-3.189396e+01
9.997734e-01,-1.332729e-05,-3.189398e+01
9.997601e-01,-1.332694e-05,-3.189400e+01
9.997467e-01,-1.332658e-05,-3.189402e+01
9.997334e-01,-1.332622e-05,-3.189404e+01
9.997201e-01,-1.332587e-05,-3.189407e+01
9.997067e-01,-1.332551e-05,-3.189409e+01
9.996934e-01,-1.332516e-05,-3.189412e+01
9.996801e-01,-1.332480e-05,-3.189415e+01
9.996668e-01,-1.332445e-05,-3.189417e+01
9.996535e-01,-1.332409e-05,-3.189420e+01
9.996401e-01,-1.332374e-05,-3.189423e+01
9.996268e-01,-1.332338e-05,-3.189427e+01
9.996135e-01,-1.332303e-05,-3.189430e+01
9.996002e-01,-1.332267e-05,-3.189433e+01
9.995868e-01,-1.332232e-05,-3.189436e+01
9.995735e-01,-1.332196e-05,-3.189440e+01
9.995602e-01,-1.332161e-05,-3.189443e+01
9.995469e-01,-1.332125e-05,-3.189447e+01
9.995335e-01,-1.332090e-05,-3.189450e+01
9.995202e-01,-1.332054e-05,-3.189453e+01
9.995069e-01,-1.332019e-05,-3.189457e+01
9.994936e-01,-1.331983e-05,-3.189460e+01
9.994803e-01,-1.331948e-05,-3.189464e+01
9.994669e-01,-1.331912e-05,-3.189467e+01
9.994536e-01,-1.331877e-05,-3.189470e+01
9.994403e-01,-1.331841e-05,-3.189474e+01
9.994270e-01,-1.331806e-05,-3.189477e+01
9.994137e-01,-1.331770e-05,-3.189480e+01
9.994004e-01,-1.331735e-05,-3.189483e+01
9.993870e-01,-1.331699e-05,-3.189486e+01
9.993737e-01,-1.331664e-05,-3.189489e+01
9.993604e-01,-1.331628e-05,-3.189492e+01
9.993471e-01,-1.331593e-05,-3.189495e+01
9.993338e-01,-1.331557e-05,-3.189497e+01
9.993205e-01,-1.331522e-05,-3.189500e+01
9.993071e-01,-1.331486e-05,-3.189502e+01
9.992938e-01,-1.331451e-05,-3.189505e+01
9.992805e-01,-1.331415e-05,-3.189507e+01
9.992672e-01,-1.331380e-05,-3.189509e+01
9.992539e-01,-1.331344e-05,-3.189511e+01
9.992406e-01,-1.331309e-05,-3.189513e+01
9.992273e-01,-1.331273e-05,-3.189515e+01
9.992139e-01,-1.331238e-05,-3.189516e+01
9.992006e-01,-1.331203e-05,-3.189518e+01
9.991873e-01,-1.331167e-05,-3.189519e+01
9.991740e-01,-1.331132e-05,-3.189520e+01
9.991607e-01,-1.331096e-05,-3.189521e+01
9.991474e-01,-1.331061e-05,-3.189522e+01
9.991341e-01,-1.331025e-05,-3.189523e+01
9.991208e-01,-1.330990e-05,-3.189523e+01
9.991075e-01,-1.330954e-05,-3.189524e+01
9.990941e-01,-1.330919e-05,-3.189524e+01
9.990808e-01,-1.330883e-05,-3.189524e+01
9.990675e-01,-1.330848e-05,-3.189524e+01
9.990542e-01,-1.330812e-05,-3.189523e+01
9.990409e-01,-1.330777e-05,-3.189523e+01
9.990276e-01,-1.330742e-05,-3.189522e+01
9.990143e-01,-1.330706e-05,-3.189521e+01
9.990010e-01,-1.330671e-05,-3.189520e+01
9.989877e-01,-1.330635e-05,-3.189518e+01
9.989744e-01,-1.330600e-05,-3.189517e+01
9.989611e-01,-1.330564e-05,-3.189515e+01
9.989478e-01,-1.330529e-05,-3.189513e+01
9.989345e-01,-1.330493e-05,-3.189511e+01
9.989212e-01,-1.330458e-05,-3.189509e+01
9.989078e-01,-1.330423e-05,-3.189507e+01
9.988945e-01,-1.330387e-05,-3.189504e+01
9.988812e-01,-1.330352e-05,-3.189501e+01
9.988679e-01,-1.330316e-05,-3.189498e+01
9.988546e-01,-1.330281e-05,-3.189496e+01
9.988413e-01,-1.330245e-05,-3.189493e+01
9.988280e-01,-1.330210e-05,-3.189489e+01
9.988147e-01,-1.330174e-05,-3.189486e+01
9.988014e-01,-1.330139e-05,-3.189483e+01
9.987881e-01,-1.330104e-05,-3.189480e+01
9.987748e-01,-1.330068e-05,-3.189477e+01
9.987615e-01,-1.330033e-05,-3.189474e+01
9.987482e-01,-1.329997e-05,-3.189470e+01
9.987349e-01,-1.329962e-05,-3.189467e+01
9.987216e-01,-1.329927e-05,-3.189464e+01
9.987083e-01,-1.329891e-05,-3.189461e+01
9.986950e-01,-1.329856e-05,-3.189459e+01
9.986817e-01,-1.329820e-05,-3.189456e+01
9.986684e-01,-1.329785e-05,-3.189453e+01
9.986551e-01,-1.329749e-05,-3.189451e+01
9.986418e-01,-1.329714e-05,-3.189449e+01
9.986285e-01,-1.329679e-05,-3.189447e+01
9.986152e-01,-1.329643e-05,-3.189445e+01
9.986019e-01,-1.329608e-05,-3.189443e+01
9.985886e-01,-1.329572e-05,-3.189441e+01
9.985754e-01,-1.329537e-05,-3.189440e+01
9.985621e-01,-1.329502e-05,-3.189439e+01
9.985488e-01,-1.329466e-05,-3.189438e+01
9.985355e-01,-1.329431e-05,-3.189437e+01
9.985222e-01,-1.329395e-05,-3.189436e+01
9.985089e-01,-1.329360e-05,-3.189436e+01
9.984956e-01,-1.329325e-05,-3.189436e+01
9.984823e-01,-1.329289e-05,-3.189435e+01
9.984690e-01,-1.329254e-05,-3.189435e+01
9.984557e-01,-1.329218e-05,-3.189435e+01
9.984424e-01,-1.329183e-05,-3.189436e+01
9.984291e-01,-1.329148e-05,-3.189436e+01
9.984158e-01,-1.329112e-05,-3.189437e+01
9.984025e-01,-1.329077e-05,-3.189437e+01
9.983892e-01,-1.329041e-05,-3.189438e+01
9.983760e-01,-1.329006e-05,-3.189439e+01
9.983627e-01,-1.328971e-05,-3.189440e+01
9.983494e-01,-1.328935e-05,-3.189441e+01
9.983361e-01,-1.328900e-05,-3.189442e+01
