lambda,dlambda,pe,espring
0.000000e+00,0.000000e+00,-3.189576e+01,3.905192e-02
1.259958e-23,6.299748e-23,-3.189573e+01,3.905192e-02
4.031731e-22,1.007919e-21,-3.189571e+01,3.905662e-02
3.061494e-21,5.102388e-21,-3.189568e+01,3.906052e-02
1.290068e-20,1.612542e-20,-3.189566e+01,3.906455e-02
3.936844e-20,3.936713e-20,-3.189563e+01,3.906892e-02
9.795801e-20,8.162841e-20,-3.189560e+01,3.907489e-02
2.117188e-19,1.512207e-19,-3.189557e+01,3.907787e-02
4.127667e-19,2.579654e-19,-3.189553e+01,3.908182e-02
7.437942e-19,4.131942e-19,-3.189549e+01,3.909041e-02
1.259580e-18,6.297480e-19,-3.189545e+01,3.910119e-02
2.028499e-18,9.219772e-19,-3.189542e+01,3.911087e-02
3.134029e-18,1.305741e-18,-3.189538e+01,3.912081e-02
4.676265e-18,1.798408e-18,-3.189535e+01,3.913151e-02
6.773421e-18,2.418853e-18,-3.189532e+01,3.914000e-02
9.563342e-18,3.187462e-18,-3.189530e+01,3.914703e-02
1.320501e-17,4.126126e-18,-3.189527e+01,3.915155e-02
1.788006e-17,5.258246e-18,-3.189524e+01,3.915929e-02
2.379427e-17,6.608728e-18,-3.189521e+01,3.916350e-02
3.117909e-17,8.203985e-18,-3.189519e+01,3.916804e-02
4.029313e-17,1.007194e-17,-3.189516e+01,3.917552e-02
5.142366e-17,1.224201e-17,-3.189513e+01,3.918700e-02
6.488816e-17,1.474515e-17,-3.189511e+01,3.919973e-02
8.103577e-17,1.761377e-17,-3.189510e+01,3.921121e-02
1.002488e-16,2.088183e-17,-3.189509e+01,3.921976e-02
1.229444e-16,2.458477e-17,-3.189508e+01,3.922955e-02
1.495756e-16,2.875956e-17,-3.189507e+01,3.923550e-02
1.806336e-16,3.344464e-17,-3.189505e+01,3.924190e-02
2.166483e-16,3.867998e-17,-3.189505e+01,3.924897e-02
2.581907e-16,4.450704e-17,-3.189504e+01,3.925362e-02
3.058739e-16,5.096879e-17,-3.189503e+01,3.925856e-02
3.603547e-16,5.810971e-17,-3.189503e+01,3.926476e-02
4.223351e-16,6.597577e-17,-3.189504e+01,3.927032e-02
4.925638e-16,7.461445e-17,-3.189505e+01,3.927384e-02
5.718378e-16,8.407473e-17,-3.189506e+01,3.927505e-02
6.610039e-16,9.440709e-17,-3.189507e+01,3.927134e-02
7.609600e-16,1.056635e-16,-3.189509e+01,3.926733e-02
8.726568e-16,1.178975e-16,-3.189511e+01,3.926222e-02
9.970991e-16,1.311640e-16,-3.189514e+01,3.925843e-02
1.135348e-15,1.455196e-16,-3.189517e+01,3.925176e-02
1.288521e-15,1.610221e-16,-3.189520e+01,3.924320e-02
1.457794e-15,1.777312e-16,-3.189523e+01,3.923509e-02
1.644405e-15,1.957077e-16,-3.189527e+01,3.922663e-02
