Temperature_K,Free_Energy_eV_atom,Lambda,Work_w
300.0,-32.0231,1.0,0.0
300.00132000580805,-32.02310087078835,0.9999956,0.00014020147900049398
300.0026700237632,-32.02310176136479,0.9999911,0.00028358936649931077
300.0039900530677,-32.02310263214815,0.9999867,0.00042379086749980474
300.00534009505367,-32.0231035227195,0.9999822,0.0005671787774986216
300.00666014785526,-32.023104393497896,0.9999778,0.0007073803004991156
300.00801021387275,-32.02310528406415,0.9999733,0.0008507682330014699
300.009330290172,-32.02310615484855,0.9999689,0.0009909697669984263
300.0106803802215,-32.02310704540971,0.9999644,0.0011343577220007807
300.0120004800192,-32.02310791616713,0.99996,0.0012745593000012747
300.01332059143425,-32.023108786921966,0.9999556,0.0014147608890017686
300.0146707173981,-32.02310967746413,0.9999511,0.0015581488890005855
300.0159908523124,-32.023110548224984,0.9999467,0.0016983504890010794
300.01734100230993,-32.02311143878456,0.9999422,0.0018417384889998962
300.0186611607242,-32.02311230954043,0.9999378,0.00198194011100039
300.020011334756,-32.02311320007241,0.9999333,0.0021253281559992067
300.02133151667084,-32.0231140708233,0.9999289,0.0022655297999997007
300.02268171473764,-32.02311496136142,0.9999244,0.0024089178562485174
300.0240019201536,-32.02311583210734,0.99992,0.0025491195222490117
300.02532213718837,-32.02311670286165,0.9999156,0.0026893211882495056
300.0266723711738,-32.02311759341455,0.9999111,0.0028327092557483224
300.02799261171066,-32.02311846418589,0.9999067,0.0029729109217488166
300.02934286973266,-32.023119354744935,0.9999022,0.0031162990005011706
300.0306631337723,-32.0231202255003,0.9998978,0.0032565006995016648
300.0320134158315,-32.023121116043,0.9998933,0.003399888812000482
300.03333370337447,-32.02312198680438,0.9998889,0.0035400905220009755
300.0346540025373,-32.02312285757416,0.9998845,0.003680292232001469
300.0360043205185,-32.02312374814288,0.99988,0.0038236803445002862
300.0373246431856,-32.02312461892969,0.9998756,0.003963882054500781
300.0386749852056,-32.02312550950456,0.9998711,0.004107270178249597
300.03999533137767,-32.0231263802864,0.9998667,0.004247471910250091
300.0413456974371,-32.02312727086743,0.9998622,0.004390860045248907
300.04266606711474,-32.02312814166628,0.9998578,0.004531061777249401
300.04398644841336,-32.02312901247354,0.9998534,0.004671263509249894
300.0453368503981,-32.02312990308059,0.9998489,0.004814651644248711
300.0466572552032,-32.023130773904875,0.9998445,0.004954853376249205
300.048007681229,-32.02313166452933,0.99984,0.005098241511251559
300.0493281095412,-32.02313253537064,0.9998356,0.005238443243248516
300.05067855960874,-32.0231334260125,0.9998311,0.00538183137825087
300.0519990114287,-32.023134296870836,0.9998267,0.005522033110251364
300.05331947487065,-32.02313516775959,0.9998223,0.00566223482024832
300.0546699608669,-32.023136058472474,0.9998178,0.005805622910250675
300.0559904478176,-32.02313692940026,0.9998134,0.005945824598251168
